"jobtitle","company","location","longitude","latitude","salary","companysize","companyrating","summary"
"Data Science Analyst","Noblis","Washington, DC",nan,nan,"NA",27,51.0,"On statistical methodologies/approaches, analytical issues, and risks Participate as the data science subject matter expert in meetings with client-organized..."
"Data Scientist","PulsePoint","New York, NY",nan,nan,"NA",8,43.8,"MS/PhD in Astronomy, Physics, Applied Mathematics, Statistics, Machine Learning, Computer Science; Research and investigate academic and industrial data mining,..."
"Data Scientist","Prosper","San Francisco, CA",nan,nan,"NA",nan,nan,"Prosper is seeking a Data Scientist in the Risk Analytics team. Strong background in applying statistical machine learning techniques to predictive modeling...."
"Data Science / Data Journalism / Research Intern","PRISMOJI","New York, NY 10003 (Greenwich Village area)",nan,nan,"NA",nan,nan,"PRISMOJI (prismoji.com) is a data journalism lab founded by an ex Facebook data scientist. Working throughout the pipeline from defining a research question,..."
"Data Scientist","Saylent Technologies Inc","Boston, MA 02116 (South End area)",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Thermo Fisher Scientific","Carlsbad, CA 92009",nan,nan,"NA",nan,42.6,"BS in computer science, data science, data analytics, or applied statistics. 3+ years of experience with machine learning, data mining, statistical modeling..."
"Data Scientist","The College Board","New York, NY",nan,nan,"NA",42,51.0,"DATA SCIENTIST/SENIOR DATA SCIENTIST. Experience with descriptive statistics and data visualization in R and Tableau...."
"Data Scientists Analyst","ASG Renaissance","Dearborn, MI 48124",nan,nan,"NA",6,52.8,"Develop data processes scripts Perform data analysis with existing and newly developed scripts. Experience processing large data sets...."
"Data Analyst","Drexel Urban Health Collaborative","Philadelphia, PA",nan,nan,"NA",nan,nan,"And (4) to conduct dissemination and outreach to scientists, the public and policy makers.The project is based at the Urban Health Collaborative at the Dornsife..."
"Data Scientist","Availity, LLC.","Jacksonville, FL 32256",nan,nan,"NA",nan,nan,"Machine learning/Artificial Intelligence /Visualization, databases, and Big Data), Statistics, Epidemiology, Health Services Research, or closely related field..."
"Data Scientists","Grandata","United States",nan,nan,"NA",nan,nan,"Grandata is looking for great Data Scientists to develop machine learning algorithms over very large graphs. Machine learning working experience...."
"Data Scientist - Contract","Clarity Insights","United States",nan,nan,"NA",3,40.8,"Sr Data Scientist Location:. Minimum of 5+ years recent hands-on experience working with data mining tools like , R, or Python is required...."
"Machine Learning Engineer (Boston)","QuantumBlack","Boston, MA",nan,nan,"NA",nan,nan,"Work closely with data scientists to solve difficult engineering and machine learning problems and produce high-quality code...."
"Data Scientist","RealSelf","Seattle, WA 98121 (Belltown area)",nan,nan,"NA",2,51.0,"Collaborate with data engineers to build self-service reporting platforms, and establishing automated processes for large scale data analyses...."
"Data Scientist","Solutionreach","Lehi, UT",nan,nan,"NA",27,52.2,"As a data scientist at Solutionreach you will have the opportunity to play a major role in strategy and decision support through data insights...."
"BIG DATA SCIENTIST / Machine Learning Scientist (W2 only)","Astir Technologies LLC","Los Angeles, CA",nan,nan,"NA",nan,nan,"MACHINE LEARNING MODELS, DATA ANALYTICS, PYTHO, SCALA, JAVA, BIG DATA TECHNOLOGIES (HIVE, HBASE,SPARK), REDSHIFT, ELASTIC SEARCH, MONGODB, MLIB,H20,MAHOUT...."
"Data Scientist","Brookhaven National Laboratory","Upton, NY 11973",nan,nan,"NA",56,52.2,"The successful candidate will develop a portfolio of collaborations with CFN scientists and users, addressing pressing challenges in the acquisition, management..."
"DATA SCIENTIST","University of Pennsylvania","Philadelphia, PA",nan,nan,"NA",525,52.2,"Responsible for computational analysis of biomedical and clinical research data using artificial intelligence (AI), machine learning (ML), and visual analytics..."
"Data Scientist","Whiteboard Federal Technologies","Herndon, VA",nan,nan,"NA",nan,nan,"Ability to act as bridge between data scientists and analysts. Our ideal candidate has a firm grounding in data science and is a strong communicator,..."
"Data Scientist","Savi Technology","Alexandria, VA 22304 (Seminary Hill area)",nan,nan,"NA",6,42.0,"NA"
"Data Scientist","KPMG","New York, NY 10154 (Midtown area)",nan,nan,"NA",nan,51.0,"NA"
"Data Scientist","BetterCompany","San Francisco, CA",nan,nan,"NA",nan,nan,"NA"
"Machine Learning","Twitter","San Francisco, CA 94103 (South Of Market area)",nan,nan,"NA",39,51.6,"NA"
"Data Scientist","USAA","San Antonio, TX",nan,nan,"NA",961,51.6,"NA"
"Data Scientist","GEICO","Chevy Chase, MD 20815",nan,nan,"NA",nan,42.6,"You will identify, extract, aggregate, and integrate relevant data sources required to address identified problems as well as pull, integrate and cleanse..."
"Jr. Data Scientist Job","SAIC","Aberdeen, MD",nan,nan,"NA",nan,51.6,"NA"
"Associate, Data Scientist - Optimization","KPMG","Knoxville, TN 37929 (Downtown area)",nan,nan,"NA",nan,51.0,"NA"
"Data Scientist","Intellect Design Arena","Piscataway, NJ",nan,nan,"NA",21,41.4,"NA"
"Data Scientist","Technica Corporation","Washington, DC",nan,nan,"NA",11,41.4,"Technica Corporation is seeking a Data Scientist to work with data scientists to coordinate multifaceted scientific research and analytic activities that..."
"Data Scientist","Honeywell","Atlanta, GA 30308 (Old Fourth Ward area)",nan,nan,"NA",nan,44.4,"Provide data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs...."
"Data Scientist / Statistician / Economist","Apple","Santa Clara Valley, CA",nan,nan,"NA",nan,52.2,"Demonstrated proficiency in going from unclean data source to cleaning, munging, plotting and modeling with regression or other appropriate machine learning..."
"Data Scientist","Lockheed Martin","Rochester, NY 14623",nan,nan,"NA",nan,51.6,"The applicant is expected to collaborate with other data scientists, engineers, software teams, management, and other stakeholders to conduct data wrangling /..."
"Data Scientist I/Data Warehouse Developer","Moda Health","Portland, OR 97204 (Downtown area)",nan,nan,"NA",64,39.6,"Moda Health is seeking a Data Scientist in our Underwriting department. 1+ Years experience manipulating large data sets using relational databases and/or data..."
"Data Scientist","Grant Thornton","Washington, DC 20036 (Downtown area)",nan,nan,"NA",693,43.8,"Experience leading projects in data exploration, survey analysis, and/or data mining. Intermediate skills with data visualization tools:...."
"Data Scientist","Dotdash","New York, NY",nan,nan,"NA",nan,nan,"Bachelors/Masters Degree in relevant field and 2+ years of industry experience as a data scientist, or PhD in a relevant quantitative field with a proven..."
"Data Analyst (Info Analyst I) - Healthcare Information & Ana...","Premera Blue Cross","Mountlake Terrace, WA",nan,nan,"NA",211,43.2,"Is a leading health plan in the Pacific Northwest, providing comprehensive health benefits and tailored services to more than 2 million people, from individuals..."
"Research Scientist - Data Science","Educational Testing Service (ETS)","Princeton, NJ 08541",nan,nan,"NA",180,51.0,"Demonstrated experience in statistics, data sciences and advanced machine learning techniques to solve challenging data science problems in real world..."
"Information Scientist","PNC","Cleveland, OH 44101 (Central area)",nan,nan,"NA",nan,43.2,"NA"
"Data Scientist","Zimmerman Advertising","Dallas, TX",nan,nan,"NA",42,32.4,"NA"
"Data & Analytics Analyst","DISYS","Spring, TX",nan,nan,"NA",92,43.2,"NA"
"Data Scientist","Knowles","Itasca, IL",nan,nan,"NA",10,42.6,"NA"
"Data Scientist","First Orion","Little Rock, AR",nan,nan,"NA",nan,nan,"NA"
"Associate Data Scientist","Darden","Orlando, FL",nan,nan,"NA",639,44.4,"NA"
"Data Scientist","Advantage SCI","Washington, DC",nan,nan,"NA",11,52.2,"NA"
"Data Analyst / Data Scientist - Data Analytics","Mutual of Omaha","Omaha, NE",nan,nan,"NA",304,44.4,"NA"
"Data Scientist","tronc","Chicago, IL",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Schaeffler Group","Fort Mill, SC",nan,nan,"NA",418,44.4,"Data visualization and/or power point presentation skills to effectively communicate insights is a plus. Deep experience in extracting, cleaning, preparing and..."
"Data Scientist","Cerner Corporation","Kansas City, MO",nan,nan,"NA",646,43.2,"The State and Public Health Data Scientist role will create novel analytics to support population health, evaluate program performance, present results, and..."
"Data Scientist (Intern) - United States","Cisco","San Jose, CA",nan,nan,"NA",nan,51.6,"NA"
"Senior Statistician/Data Scientist/Predictive Modeler","DataLab USA","Germantown, MD 20876",nan,nan,"NA",nan,nan,"Strong data mining proficiency. 3+ years of database marketing and data mining experience. Through the use of data analytics, sourcing, processing, and digital..."
"Quantitative Data Analyst","Gemini Solutions","Newport Beach, CA",nan,nan,"$70 - $90 an hour",6,40.8,"Machine learning techniques. Work with large, complex data sets; Develop comprehensive understanding of Quant data structures and metrics...."
"Data Scientist - Marketing","McKinsey & Company","San Francisco, CA",nan,nan,"NA",273,52.8,"NA"
"Data Scientist","Stanford University","Stanford, CA 94305",nan,nan,"NA",336,52.8,"Industry experience as a data scientist. The Biostatistician 1 will work closely with senior statistician(s) to manage relevant databases as necessary, design..."
"Data Scientist","Praxis Engineering","Reston, VA",nan,nan,"NA",11,55.2,"Mentor data scientists to support employee and product development. Programming languages, math/statistics packages, computer science, machine learning,..."
"Data Scientist","Priceline.com","Norwalk, CT 06854",nan,nan,"NA",62,51.6,"2+ years experience in statistical methodology, multivariate analysis, statistical modeling, data mining, text mining and other analytics...."
"Data Scientist","JB Hunt","Lowell, AR",nan,nan,"NA",nan,40.8,"NA"
"Data Scientist","REAN Cloud Services","Herndon, VA",nan,nan,"NA",nan,nan,"NA"
"Machine Learning Engineer","Mozaic Group Inc.","Wilmington, DE",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Conversica","Seattle, WA 98104 (First Hill area)",nan,nan,"NA",4,43.8,"NA"
"Data Scientist","Telus International","Home Based",nan,nan,"NA",428,44.4,"NA"
"Data Scientist","Quantifind","Menlo Park, CA",nan,nan,"NA",nan,nan,"NA"
"Data Science Consultant - Natural Resources","Accenture","Houston, TX",nan,nan,"NA",nan,51.0,"NA"
"Data Scientist 2","Mitchell International, Inc.","San Diego, CA",nan,nan,"NA",3,39.0,"NA"
"Data Scientist","CACI","Charlottesville, VA 22909 (North East area)",nan,nan,"NA",nan,44.4,"NA"
"Data Scientist, Advanced Analytics","LogRhythm","Boulder, CO 80301",nan,nan,"NA",11,44.4,"This is an ideal role for a Data Scientist with modern infrastructure expertise to deliver scalable, reliable data pipelines, the engineering skills necessary..."
"Data Scientist","Glooko","Mountain View, CA 94041",nan,nan,"NA",nan,nan,"Work closely with the clinical research team (Chief Medical Officer, Director of Clinical Research/Development, Clinical Research Associates) on research..."
"Quantitative Research Analyst","University of Colorado","Boulder, CO",nan,nan,"$63,000 - $68,000 a year",533,52.2,"Ability to manage data, execute statistical. And quantitative data. Data analysis and reporting. Data collection, measurement, and analysis...."
"Data Analyst","Panjiva","Cambridge, MA",nan,nan,"NA",nan,nan,"Work with a team of world class computer scientists and data scientists to solve hard data challenges. Collaborate with engineers and data scientists to develop..."
"Data Scientist","Credit Sesame","San Francisco, CA",nan,nan,"NA",nan,nan,"Use predictive modeling to build data-driven insights to improve insights for prospective and current customers...."
"Data Scientist - Targeting","Acorns","Irvine, CA",nan,nan,"NA",12,55.2,"Background in data mining, machine learning, statistical analysis, and modeling, with experience deploying models in a production environment...."
"Student Research Collaboration","Google","Pittsburgh, PA",nan,nan,"NA",nan,52.8,"From creating experiments and prototyping implementations to designing new architectures, Research Scientists and Software Engineers work on challenges in..."
"Quantitative User Researcher","Twitter","San Francisco, CA 94103 (South Of Market area)",nan,nan,"NA",39,51.6,"Collaborate closely with qualitative researchers and data scientists. Experience with applied statistics/econometrics and R, SPSS, SAS, or Python for..."
"Data Analyst","McKesson","Alpharetta, GA 30005",nan,nan,"NA",nan,43.2,"By providing critical analytics support, they will work with Technologists, Data Scientists and Data Engineers to develop insights and analytic models to help..."
"Senior Data Scientist","Dick's Sporting Goods","Pittsburgh, PA",nan,nan,"NA",nan,42.6,"NA"
"Data Scientist","Analytical Consulting Group, LLC","Springfield, VA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","The Cadmus Group, Inc.","Washington, DC",nan,nan,"NA",nan,nan,"Manage data integration projects for federal client. Our client-oriented approach, coupled with our profound and relevant subject matter expertise, enables us..."
"Data Scientist","Brillio Inc","Princeton, NJ",nan,nan,"NA",nan,nan,"NA"
"NA","athenahealth, Inc.","Watertown, MA",nan,nan,"NA",139,43.2,"NA"
"Data Scientist - Operations","McKinsey & Company","Boston, MA",nan,nan,"NA",273,52.8,"NA"
"Data Analytics Scientist","Ford Motor Company","Dearborn, MI",nan,nan,"NA",nan,52.8,"NA"
"Data Scientist - Quant Research - New York","Newton Colmore Consulting Ltd","New York, NY",nan,nan,"NA",nan,nan,"NA"
"Machine Learning Engineer","BAIN & COMPANY","San Francisco, CA 94111 (Financial District area)",nan,nan,"NA",74,53.4,"NA"
"Data Scientist","ICF","Fairfax, VA",nan,nan,"NA",284,41.4,"NA"
"Data Scientist","EcoSense Lighting","Los Angeles, CA 90017",nan,nan,"NA",2,51.0,"Experience in a broad range of techniques, including natural language processing, deep learning, machine vision, constrained optimization...."
"Data Scientist","Jamf","Minneapolis, MN 55417 (Wenonah area)",nan,nan,"NA",nan,nan,"Using statistical and algorithmic analysis and data mining, the Data Scientist at Jamf is responsible for modeling complex business problems, discovering..."
"Data Scientist","Motorola Solutions","Chicago, IL 60604 (Loop area)",nan,nan,"NA",nan,52.2,"Machine Learning Modeling/Data Mining; Utilize strong data mining and statistical learning skills. Utilize Advanced Data Analysis/Advanced Statistics;..."
"Data Scientist Contractor","Kaizen Analytix LLC","Plano, TX",nan,nan,"NA",nan,nan,"Data Scientist Contractor*. Data mining and visualization expertise, including 3rd party tools like SAS, R, Tableau, and Power BI...."
"Data Scientist","Mist Systems","Cupertino, CA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Treselle Software","Campbell, CA",nan,nan,"NA",nan,nan,"Applicants should be smart, passionate applied scientists interested in using large data sets and experience using Python or R to collect, structure, manipulate..."
"Data Science Evangelist","Mode","San Francisco, CA",nan,nan,"NA",21,52.2,"Mode changes how people leverage data by equipping analysts and data scientists with powerful tools to explore data and deliver insights to every corner of..."
"Quantitative Analysis, Full Time Analyst (North America)","Citi","New York, NY",nan,nan,"NA",nan,44.4,"NA"
"Data Scientist - Journey Analytics","McKinsey & Company","Waltham, MA",nan,nan,"NA",273,52.8,"As one of the fastest-growing parts of our firm, New Ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists)..."
"Analytics Data Scientist","Blue Cross and Blue Shield of Kansas","Topeka, KS",nan,nan,"$83,927 - $125,891 a year",6,51.0,"Strong hands on experience working with data science tools R or Python An understanding of the Payer business and key metrics An understanding of the Healthcare..."
"Data Scientist, Search Ads","Apple","Santa Clara Valley, CA",nan,nan,"NA",nan,52.2,"Use data mining, statistical analysis, and visualization techniques to understand and improve Search Ads experience for users and app developers...."
"Data Scientist","REX - Real Estate Exchange","Austin, TX 78701 (Downtown area)",nan,nan,"NA",nan,nan,"NA"
"Machine Learning Engineer","Timeswell LLC","Santa Clara, CA",nan,nan,"NA",nan,nan,"Our team of Chartered Financial Analysts, data scientists, and our portfolio manager use software to monitor and manage our clients' investment accounts from a..."
"Data Scientist","John Hancock","Boston, MA",nan,nan,"NA",193,51.0,"Advise Data Mining Director and other leadership as to data required to effectively manage the Insurance Operations business...."
"Machine Learning Engineer","Advanced Technical Resources Inc.","San Diego, CA",nan,nan,"NA",nan,nan,"The engineer will be working with Corporate R&D and EDA team to develop Machine learning based timing closure methodology...."
"Data Scientist/Deep Learning Engineer Intern","Intel","San Diego, CA 92129",nan,nan,"NA",nan,52.2,"Cutting edge problems in applied deep learning, machine learning, and AI in one or more of the following areas:...."
"Data Scientist","comScore","Portland, OR",nan,nan,"NA",37,42.6,"Ability to work individually, as well as partner with small and large teams of other Data Scientists during all stages of projects, including planning and..."
"Data Scientist","CodeFights","San Francisco, CA",nan,nan,"NA",nan,nan,"Experience with common analysis tools - SQL, R, and Python. At least 1 year industry experience in data analytics and/or quantitative modeling, with significant..."
"Data Analyst","ICF","Golden, CO",nan,nan,"NA",284,41.4,"The Data Analyst will develop a deep understanding of analytical models and data patterns for Energy and Marketing data...."
"Data and Analytics Scientist","SunTrust","Richmond, VA",nan,nan,"NA",nan,42.6,"Data and Analytics Scientist-W441553. Analytic programming experience is a plus (SAS, SQL, etc). Incumbents possess an advanced degree in engineering, applied..."
"Data Scientist","Bright Health","Minneapolis, MN",nan,nan,"NA",nan,nan,"NA"
"Technology - GSAM Tech - Data Science and Machine Learning E...","Goldman Sachs","New York, NY 10282 (Tribeca area)",nan,nan,"NA",873,51.6,"IMD Knowledge Management team is looking to expand its presence in New York with the addition of a senior data scientist and machine learning engineer...."
"Data Scientist","Zapata Technology","Washington, DC 20024 (South West area)",nan,nan,"NA",nan,nan,"Data Scientist - Data Science / Integration / Analytics - Remote. Proficiency in statistical analysis, quantitative analytics, forecasting/predictive analytics,..."
"Media Analytics - Data Scientist","Nielsen","San Francisco, CA",nan,nan,"NA",nan,44.4,"NA"
"Data Scientist","RangTech","New York, NY",nan,nan,"NA",11,54.6,"Experience/Interest in machine learning, data mining, and predictive analysis. Experience in building production machine learning systems using big data...."
"Data Scientist","Asurion","Nashville, TN 37214 (Barclay Drive area)",nan,nan,"NA",nan,43.8,"Asurion is seeking for Data Scientists to join our Data Science team. Analytics - Familiarity with common advanced analysis tools - SQL, Python, R, SAS are..."
"Data Scientist","Apria Healthcare","Lake Forest, CA 92630",nan,nan,"NA",nan,40.2,"NA"
"Data Scientist","Epsilon","Chicago, IL",nan,nan,"NA",157,40.2,"NA"
"Data Scientist I (Healthcare)","Cenpatico National","Austin, TX",nan,nan,"NA",467,40.2,"NA"
"Data Scientist Machine Learning","Broad Institute","Cambridge, MA",nan,nan,"NA",21,52.2,"NA"
"RESEARCH ASSISTANT","San Diego Zoo","San Diego, CA",nan,nan,"NA",48,51.0,"Based at the Arnold and Mabel Beckman Center for Conservation Research adjacent to the San Diego Zoo Safari Park, more than 200 dedicated scientists carry out..."
"Data Scientist - PowerPoint","Computer Enterprises, Inc. (CEI)","Philadelphia, PA",nan,nan,"$60 - $65 an hour",nan,nan,"NA"
"Data Analyst - Banking Analytics","McKinsey & Company","Houston, TX",nan,nan,"NA",273,52.8,"NA"
"Machine Learning","Exxon Mobil","Clinton, NJ",nan,nan,"NA",nan,51.0,"NA"
"Scientific Data Developer","NIEHS","Durham, NC 27709",nan,nan,"$50,000 - $100,000 a year",nan,nan,"NA"
"Data Scientist","Silicon Valley Bank","Tempe, AZ 85281",nan,nan,"NA",59,51.6,"In order to design and create information foundation, data scientists identifies and explores relevant data sources, and create business understanding of the..."
"Data Scientist (Growth)","HealthTap","Palo Alto, CA",nan,nan,"NA",4,43.8,"Right now, we're looking for our first Data Scientist, Growth with an applied mathematics, statistics, CS, OR, or related background to bring affordable virtual..."
"Data Scientist","Strayer University","Herndon, VA 20171",nan,nan,"NA",357,41.4,"A job opportunity for a data scientist with a passion for solving real world problems using Machine Learning (ML), Artificial Intelligence (AI) and software..."
"Cyber Data Scientist","University of Nebraska at Omaha","Omaha, NE",nan,nan,"$44,200 - $95,300 a year",42,44.4,"Consults with other data scientists and. Applied data science and analytics to the. Scientists, cyber engineers, and developers...."
"Data Scientist","BIS Consulting, Inc. on behalf of end client","San Jose, CA",nan,nan,"NA",nan,nan,"Candidates completing their education in Statistics, Decision Sciences, Data Modeling and Mining, Analytics, or a related field will be considered for this role..."
"Data Scientist (Journeyman)","MESMO Inc.","Springfield, VA",nan,nan,"NA",nan,nan,"Present processed data, visualizations and scientific analysis to GEOINT analysts and managers in support of production, and providing Subject Matter Expert..."
"Data Scientist - Fitness & Health","Apple","Santa Clara Valley, CA",nan,nan,"NA",nan,52.2,"We are looking for a highly motivated data scientist proficient in generating meaningful insights from complex, multi-dimensional data that can inform and..."
"Data Scientist","Skillz Inc.","San Francisco, CA",nan,nan,"NA",nan,nan,"Programming experience (Python, R or any other relevant language). Ability to produce ad-hoc reports using SQL...."
"Data Scientist","Symphony Health Solutions","Phoenix, AZ 85016 (Camelback East area)",nan,nan,"NA",15,44.4,"The company helps clients drive revenue growth and commercial effectiveness, while adapting to the transformation of the healthcare ecosystem, by integrating a..."
"Data Scientist/ Statistician","Microhealth LLC","Vienna, VA 22182",nan,nan,"NA",3,55.2,"NA"
"Data Scientist, Infrastructure","Facebook","Menlo Park, CA",nan,nan,"NA",185,52.2,"NA"
"Data Scientist: Bloomingdale's, New York, NY","Bloomingdale's","New York, NY",nan,nan,"NA",966,43.8,"NA"
"NA","H3 Biomedicine","Cambridge, MA 02139 (Area IV area)",nan,nan,"NA",nan,nan,"NA"
"Analyst, Data Mgmt and Quantitative Analysis","BNY Mellon","Pittsburgh, PA 15219 (Middle Hill area)",nan,nan,"NA",nan,42.6,"BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards..."
"Data Scientist","Evans & Chambers Technology","Springfield, VA",nan,nan,"NA",nan,nan,"NA"
"Machine Learning - Engineer (Full time position)","Nityo Infotech","Pennsville, NJ",nan,nan,"$140,000 a year",nan,nan,"NA"
"Data Scientist - Supply Chain","Home Depot","Atlanta, GA 30324 (Buckhead area)",nan,nan,"NA",nan,43.8,"NA"
"Data Scientist","Cisco","San Jose, CA",nan,nan,"NA",nan,51.6,"NA"
"Statistician Part-Time - Durham, NC","SciMetrika","Durham, NC 27713",nan,nan,"NA",3,52.8,"SciMetrika is a population health consulting firm whose mission is to provide innovative scientific, technical, and logistical solutions that advance human..."
"Data Scientist","Meetup","New York, NY 10012 (Little Italy area)",nan,nan,"NA",3,55.2,"3+ years working with data analytics, data warehousing practices, ETL pipelines, experimentation, and modeling...."
"Machine Learning Engineer/Data Scientist","Twitter","San Francisco, CA 94103 (South Of Market area)",nan,nan,"NA",39,51.6,"BS, MS, or PhD in computer science, data mining, machine learning, information retrieval, recommendation systems, natural language processing, statistics, math,..."
"Machine Learning","Argo AI","Pittsburgh, PA",nan,nan,"NA",nan,nan,"We are looking for highly motivated, technically deep engineers and applied scientists to join our team and help us realize this vision...."
"Data Scientist","Flowcast","San Francisco, CA",nan,nan,"$100,000 - $130,000 a year",nan,nan,"Looking for a fast learner who can take on the challenges of the various stages of data analytics. Construct ETL processes to enable data analytics capabilities..."
"Data Science Analyst Population Health","Mount Sinai Health System","New York, NY 10019 (Midtown area)",nan,nan,"NA",781,51.0,"Mount Sinai, one of the leading US health systems with a top-ranked academic medical center, medical school and faculty practice is accelerating a transition to..."
"Machine Learning Engineer","Nityo Infotech","Pennington, NJ",nan,nan,"$140,000 - $150,000 a year",nan,nan,"NA"
"Engineer - Data Analytics/Machine Learning","Intellipro Group Inc.","New Jersey",nan,nan,"NA",nan,nan,"Prototyping and validation using R, Python, some C++ and statistical and data mining tools. Software development experience using modern general purpose..."
"Data Scientist","Valorem Consulting","Kansas City, MO",nan,nan,"NA",3,39.0,"NA"
"Data Scientist","Northwestern Mutual Life Insurance Company","Milwaukee, WI 53202 (Lower East Side area)",nan,nan,"NA",26,42.6,"Our innovative team of data scientists work in a highly collaborative, agile environment. Programming experience with SAS, R and other software, SQL server or..."
"Data Scientist","Predictive Science","United States",nan,nan,"NA",nan,nan,"This is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the..."
"Big Data Engineer (Clearance Will Be Required)","Oak Ridge National Laboratory","Oak Ridge, TN 37830",nan,nan,"NA",nan,nan,"Experience with parallel and big data mining and machine learning frameworks. Working on a variety of data assignments and collaborating with scientists and..."
"Data Scientist","Pragmatics","Suitland, MD",nan,nan,"NA",19,43.8,"NA"
"Data Scientist","NVIDIA","Santa Clara, CA",nan,nan,"NA",130,52.2,"5+ years of experience in using statistical, data mining and machine learning techniques to solve business problems...."
"Statistical Assistant, Data Science","Mathematica Policy Research","Cambridge, MA 02139 (Area IV area)",nan,nan,"NA",41,43.8,"R Shiny, R Markdown, Pandas or scikit-learn Highly relevant subject matter include quality measures and Medicare and Medicaid data Please submit a cover letter,..."
"Data Scientist","Aruba Networks","Santa Clara, CA",nan,nan,"NA",32,51.6,"Strong background in statistical and machine learning techniques such as deep learning, anomaly detection, clustering and ranking of events, time series..."
"Machine Learning Scientist","VoxelCloud","Los Angeles, CA",nan,nan,"NA",nan,nan,"Machine Learning Scientist*. Our rapidly growing team consists of research scientists and software engineers from the most prestigious universities and..."
"Data Analysis Intern","Sizmek","Austin, TX",nan,nan,"NA",6,43.2,"NA"
"Data Scientist","OCC","Chicago, IL 60605 (Near South Side area)",nan,nan,"NA",33,52.2,"Model complex business problems, discover business insights and identify opportunities through the use of statistical, algorithmic, mining and visualization..."
"Data Scientist","Hertz","Estero, FL 33928",nan,nan,"NA",nan,41.4,"Masters with 3+ years of experience as data scientist. As a Data Scientist, you would build predictive modelling for various projects...."
"Data Scientist Associate","Novant Health","Winston-Salem, NC",nan,nan,"NA",459,42.6,"The Associate must be proficient in employing large scale data analytics to derive actionable insights. The Data Scientist Associate collaborates with team..."
"Data Scientist","InTec, LLC","McLean, VA",nan,nan,"NA",nan,nan,"The Designer/Developer will ensure that all products meet or exceed the quality standards and expectation of the Customer...."
"Data Scientist","Nelnet","Highlands Ranch, CO",nan,nan,"NA",181,43.2,"Preference will be given to those familiar with advanced statistical concepts and those whom have advanced data mining experience through the use of SQL and..."
"Data Scientist - Weather Specialist","Uptake","Chicago, IL",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Foot Locker","Bradenton, FL",nan,nan,"NA",nan,51.0,"We are searching for a forward thinking Data Scientist to drive data mining, build data products, and communicate findings to key stakeholders...."
"Data Scientist","Zenetex, LLC","Lexington Park, MD",nan,nan,"NA",16,53.4,"We have an opportunity for a Data Scientist to help in managing back-end data structures, developing new and innovative analytic methods, and creating..."
"Quantitative Analyst","Relus Technologies LLC","San Francisco, CA 94111 (Financial District area)",nan,nan,"$125,000 a year",nan,nan,"2+ years of relevant corporate work experience working on programming, data analytics, quantitative modeling...."
"Research Data Analyst","The University of Pittsburgh","Pittsburgh, PA",nan,nan,"NA",357,52.8,"NA"
"Data Scientist","Pragmatics, Inc.","Suitland, MD",nan,nan,"NA",2,42.0,"NA"
"Data Scientist Resource","Baer Group","Hartford, CT",nan,nan,"NA",nan,nan,"NA"
"Data Scientist/Analyst - III","OGSystems","Springfield, VA",nan,nan,"NA",4,51.0,"NA"
"Data Analyst/Engineer/Scientist","Control Capital Group, LLC","Thousand Oaks, CA",nan,nan,"NA",nan,nan,"NA"
"NA","HelloFresh","New York, NY",nan,nan,"NA",91,39.6,"NA"
"Senior Candidates - Advanced Vehicle Initiative","Exponent","United States",nan,nan,"NA",18,51.0,"Our multidisciplinary team of scientists, engineers, physicians, and regulatory consultants brings together more than 90 different disciplines to solve..."
"Big Data Scientist (PhD)","Siemens","Princeton, NJ 08540",nan,nan,"NA",nan,51.6,"NA"
"Machine Learning Engineer","Mobilyte","San Francisco, CA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Blue State Digital","New York, NY",nan,nan,"NA",5,53.4,"Familiarity with a wide range of statistical methodologies and disciplines, including data visualization, machine learning, experimental design, and time series..."
"Speech and Data Scientist","Nuance","Mahwah, NJ",nan,nan,"NA",260,40.2,"Coursework or previous work experience in human computer interaction, usability studies, or statistics Work experience as a business analyst, ideally in a..."
"Data Scientist (Marketing Analytics)","NBCUniversal","Orlando, FL",nan,nan,"NA",nan,51.6,"Experience leveraging predictive modeling, big data analytics, exploratory data analysis and machine learning to drive significant business impact...."
"Data scientist","Even","Oakland, CA",nan,nan,"NA",92,51.0,"You have spent at least three years working as a data scientist. A remarkably talented and supportive team of peers to help you grow as a data scientist...."
"Data Scientist","Sitecore","Sausalito, CA",nan,nan,"NA",3,51.0,"Modeling and predictive analytics skills and experience, including multivariate data mining and machine learning techniques...."
"Entry Level Data Scientist","IBM","United States",nan,nan,"NA",nan,51.0,"They draw upon the practice of data analysis, using predictive analytics, data mining, pattern recognition, data modeling, machine learning and various..."
