"jobtitle","company","location","longitude","latitude","salary","companysize","companyrating","summary"
"Lead Data Scientist","AIM","San Francisco, CA",nan,nan,"$170,000 a year",53,51.6,"NA"
"Scientist, Machine Learning","Charles River Analytics","Boston, MA",nan,nan,"NA",3,55.2,"NA"
"Data Scientist","Coyote Logistics","Chicago, IL 60647 (Logan Square area)",nan,nan,"NA",97,43.2,"Azure Machine Learning. 2+ years of experience in machine learning and predictive modeling at a professional level...."
"Data Scientist","Kogentix","Schaumburg, IL 60173",nan,nan,"NA",2,51.0,"Knowledge of machine learning and ability to create reliable predictions. Fluency in R or Python in the context of scripting, data visualization and machine..."
"Data Scientist","Sarah Cannon Network","Nashville, TN",nan,nan,"NA",25,40.2,"This will include, but is not limited to, Root Cause Identification, Clustering, Linear Regression, Supervised and unsupervised Machine learning, decision trees..."
"NA","maven","Chicago, IL",nan,nan,"NA",nan,nan,"PhD with a focus on data mining, machine learning and or closely related field. 2 -5 years of experience as a researcher applying data mining and or machine..."
"Data Scientist","Entergy","The Woodlands, TX",nan,nan,"NA",280,44.4,"3+ years of programming or forecasting experience (machine learning algorithms, clustering techniques regression analysis etc) using analytical tools such as..."
"Data Scientist","Ford Motor Company","Dearborn, MI 48121",nan,nan,"NA",nan,52.8,"Global Data Insight and Analytics (GDI&A) is looking for a motivated and talented individual with a strong analytics background and knowledge of machine..."
"Machine Learning Engineer #priority","Blueprint Consulting Services","Bellevue, WA",nan,nan,"NA",12,31.8,"2+ years experience with Spark Machine Learning. As a Machine Learning Engineer, you will be part of a core team designing and building an enterprise grade big..."
"Software Solution Engineer","ContentWise, Inc.","Los Angeles, CA",nan,nan,"NA",nan,nan,"Lot of learning and growth opportunities. If you love machine learning, analytics and cloud technologies, enjoy working with technical teams, and are an..."
"Data Scientist","Levi Strauss & Co.","San Francisco, CA 94111 (Financial District area)",nan,nan,"NA",nan,44.4,"NA"
"Python Developer","GETR Inc","Plano, TX",nan,nan,"NA",nan,nan,"Python, Java, Node js, Spark, Machine learning. Backend Web Developer...."
"Data Scientist","Zapata Technology","Washington, DC 20024 (South West area)",nan,nan,"NA",nan,nan,"Experience using machine learning algorithms and be proficient in the use of statistical packages. Data Scientist - Data Science / Integration / Analytics -..."
"Data Scientist","Newsela","New York, NY",nan,nan,"NA",6,52.8,"Demonstrated success implementing machine learning methods to solve real world problems. Newsela is an Instructional Content Platform that brings together..."
"Data Scientist","Travelport","Denver, CO",nan,nan,"NA",75,44.4,"Build machine learning models (including using deep learning) using massive data sets. Practical understanding of Statistics, Machine Learning and data cleaning..."
"Data Scientist","Sonos, Inc","Santa Barbara, CA",nan,nan,"NA",4,43.8,"Identify business problems where you can apply machine learning techniques, build prototypes, and work with engineering to productize...."
"Research Scientist, Telecom Security","Pindrop","Atlanta, GA",nan,nan,"NA",nan,nan,"Machine learning and/or data mining. You are familiar with basic machine learning concepts. Help increase our machine learning, AI and data mining capabilities...."
"Data Scientist","Redfin","Seattle, WA",nan,nan,"NA",23,42.0,"Knowledge in Machine Learning algorithms and familiarity with some ML libraries/ packages (scikit-learn, Spark MLlib, TensorFlow, NLTK, etc.)...."
"Data Scientist","The Johns Hopkins Applied Physics Laboratory","Laurel, MD",nan,nan,"NA",40,51.0,"Experience with statistics, machine learning algorithms, or general algorithm development. Candidate will design and develop novel machine learning algorithms..."
"Data Scientist","Southern New Hampshire University","Manchester, NH",nan,nan,"NA",110,51.6,"Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Trees, etc...."
"NA","Fulcrum Therapeutics","Cambridge, MA",nan,nan,"NA",nan,nan,"Has experience with a wide array of machine learning algorithms and data mining methods (i.e. Time series analysis, state space models, adaptive filtering,..."
"Data Scientist","Piper Companies","Reston, VA 20190",nan,nan,"$200,000 - $220,000 a year",nan,nan,"PhD in Data Science, Machine Learning, Statistics or similar discipline. 5+ years of experience in Data Science specifically around Machine Learning...."
"Machine Learning Engineer","Technica Corporation","Dulles, VA",nan,nan,"NA",11,41.4,"Expertise in machine learning theory and practice with a solid understanding of machine learning algorithms. Supervised and unsupervised learning...."
"Deep Learning R&D Engineer_Intern","Intel","San Diego, CA 92129",nan,nan,"NA",nan,52.2,"Deep learning, machine learning & big data. Develop tools and models for our custom 16 bit numerical format for deep learning...."
"Content Developer, Artificial Intelligence","Udacity, Inc.","San Francisco, CA",nan,nan,"NA",6,55.8,"We're an online learning platform offering groundbreaking education in fields such as artificial intelligence, machine learning, robotics, virtual reality, and..."
"Junior Data Scientist","CGI","Washington, DC",nan,nan,"NA",nan,43.2,"NA"
"Computer Vision / Machine Learning Engineer","Blinker Inc.","Denver, CO 80202 (Lodo area)",nan,nan,"NA",nan,nan,"Packaging / deployment of Machine Learning solutions for production applications (TensorFlow Serving or similar)...."
"Machine Learning Engineer","Workday","San Francisco, CA 94105 (Financial District area)",nan,nan,"NA",28,44.4,"Propose statistical or machine learning based model/methodology to solve the problem. Professional experience analyzing large-scale complex data sets, modeling,..."
"Senior Lab Services Engineer (Data Science/Machine Learning...","Rocket Software","Waltham, MA 02451",nan,nan,"NA",12,44.4,"Previous experience developing data science or machine learning applications in python. The Lab Services Engineer provides a wide range of best practice..."
"Data Scientist","Orchestra Technology","Seattle, WA",nan,nan,"NA",nan,nan,"Machine Learning experience would be nice to have. Should have very good Hadoop experience together with Python scripting...."
"Data Scientist","NinthDecimal","Mountain View, CA",nan,nan,"NA",2,51.0,"Expertise in probability and statistics, including machine learning, modeling and experimental design. NinthDecimal is the leading mobile audience intelligence..."
"Data Scientist","Transdev","Tempe, AZ 85282 (Cyprus Southwest area)",nan,nan,"NA",485,42.0,"As a data scientist, you will use data mining, algorithms, optimization methods, statistical techniques, and machine learning models to research and develop..."
"Research Scientist, Machine Learning and Intelligence","Google","Mountain View, CA",nan,nan,"NA",nan,52.8,"Participate in cutting edge research in machine intelligence and machine learning applications. Experience in Natural Language Understanding, Computer Vision,..."
"Data Scientist","Engility Corporation","Springfield, VA 22152",nan,nan,"NA",325,43.2,"Train, evaluate and deploy predictive analytics models using statistical and machine learning techniques and methods...."
"Data Scientist","Twitter","San Francisco, CA 94103 (South Of Market area)",nan,nan,"NA",39,51.6,"PhD or MS in computer science, machine learning, or statistics. Our team optimizes the ad delivery engine, manages demand/supply, and improves product outcomes..."
"Data Scientist","DL Recruiting Partners","Remote",nan,nan,"NA",nan,nan,"Strong background in statistics, machine learning, deep learning, graph/network analysis. Integration of state-of-the-art machine learning algorithms into..."
"Python Developer","ContractRoom","San Mateo, CA 94402 (Beresford area)",nan,nan,"NA",nan,nan,"Moreover, the company will be investing heavily in product expansion, including machine learning and emerging technologies such as Blockchain...."
"Machine Learning with Hadoop, Need local","Alpha Net","San Francisco, CA",nan,nan,"$50 - $60 an hour",nan,nan,"3+ years industry experienceSkilled in using machine learning to model text or natural languageFluent in one or more object oriented languages like..."
"Senior Machine Learning Engineer","Turo","San Francisco, CA",nan,nan,"NA",6,54.0,"NA"
"Software Engineer, Machine Learning","Facebook","Seattle, WA",nan,nan,"NA",185,52.2,"NA"
"Data Scientist","Interactive Data","New York, NY 10279 (Financial District area)",nan,nan,"NA",39,40.8,"NA"
"Customer Data Analyst","M.Gemi","Boston, MA",nan,nan,"NA",nan,nan,"NA"
"NA","Dragnet Solutions, Inc.","Novato, CA 94949",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Evans & Chambers Technology","Springfield, VA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Consultants 2 Go","Washington, DC",nan,nan,"NA",nan,nan,"NA"
"Machine Learning Software Researcher","ARM Ltd.","San Jose, CA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Epsilon","Chicago, IL",nan,nan,"NA",157,40.2,"NA"
"Junior Data Analyst","Global Payments","Atlanta, GA",nan,nan,"NA",74,44.4,"Apply machine learning and statistical techniques to large data sets to find actionable insights. This role will be responsible for analyzing data to assist in..."
"Data Scientist","Logic20/20","Seattle, WA 98115 (Wedgwood area)",nan,nan,"NA",2,60.0,"MS / PhD in Machine Learning, Statistics, Computer Science, Data Mining, Math or any quantitative discipline preferred...."
"Data Scientist","INgrooves Music Group","Los Angeles, CA",nan,nan,"NA",nan,nan,"Knowledge of and practical experience in applying machine learning (decision trees, artificial neural networks, clustering, unsupervised and supervised learning..."
"Machine Learning Coordinator","Bloomberg","New York, NY",nan,nan,"NA",500,44.4,"Our Machine Learning Coordinator for Bloomberg Law is responsible for managing all new projects that involve machine learning for our division...."
"Fall Intern - Robot Perception & Machine Learning","Fetch Robotics","San Jose, CA",nan,nan,"NA",nan,nan,"Background in machine learning. We are looking for a fall intern with hands-on experience with robots and a background in vision and robot perception...."
"Data Scientist","7Park Data","New York, NY",nan,nan,"NA",nan,nan,"Experience using machine learning algorithms and strong algorithmic thinking. We are looking for a Data Scientist that will help us discover the information..."
"Data Scientist / Machine Learning Architect / Developer","Profitect Inc.","Waltham, MA 02451",nan,nan,"NA",nan,nan,"Strong background in statistics, machine learning, deep learning, or graph/network analysis and programming necessary...."
"Machine Learning Software Engineer","Demandbase","San Francisco, CA",nan,nan,"NA",3,51.0,"Help us perform state-of-the-art machine learning techniques in real-time. Proven ability to apply machine learning to a wide range of problems...."
"Scientist, Applied Science","Amobee","Redwood City, CA 94065",nan,nan,"NA",5,51.0,"Machine learning or statistical modeling, optimization, algorithms, big-data. Machine learning, constrained optimization, control systems, auction theory, game..."
"Big Data Scientist (PhD)","Siemens","Princeton, NJ 08540",nan,nan,"NA",nan,51.6,"Must have a strong proficiency in algorithms for data mining, machine learning, and deep learning. Apply deep learning techniques to large-scale, real-world..."
"Data Scientist","Valorem Consulting","Kansas City, MO",nan,nan,"NA",3,39.0,"NA"
"NA","Twitter","Boston, MA",nan,nan,"NA",39,51.6,"2 years of educational or work experience in Machine Learning, Artificial Intelligence, statistics, or related...."
"Data Analyst / Data Scientist - Data Analytics","Mutual of Omaha","Omaha, NE",nan,nan,"NA",304,44.4,"Proficient in one or more computer programming languages, or, proficient in statistical analysis and machine learning...."
"Junior Front-End Data Scientist","Mathematica Policy Research","Cambridge, MA 02139 (Area IV area)",nan,nan,"NA",41,43.8,"Experience in web development using .NET and JavaScript (preferably with angular) Experience writing unit and end-to-end tests Experience creating interactive..."
"Backend Software Engineer, Machine Learning Platform","Apple","Pittsburgh, PA 15237",nan,nan,"NA",nan,52.2,"NA"
"Internship - Data Science / Computer Vision","CHEP","Mountain View, CA 94040",nan,nan,"NA",104,42.6,"Machine learning and data visualization (scikit-learn, matplotlib, etc.). Deep learning frameworks (Tensorflow, Keras, Caffe)...."
"Summer Associate - UPMC Enterprises Software Engineering Int...","UPMC","Pittsburgh, PA 15206 (Larimer area)",nan,nan,"NA",496,42.6,"Excited to learn more about machine learning, artificial intelligence, cutting edge technologies, etc.? Description Are you a thinker, doer, pioneer, game..."
"Data Analyst","Clean Power Research","Seattle, WA",nan,nan,"NA",nan,nan,"This person should be familiar with advanced techniques in data science, including statistical analysis, data visualization and machine learning...."
"Data Scientist","Kaleidoscope","Dayton, OH",nan,nan,"NA",32,51.6,"Perform feature engineering for machine learning as applicable. Expertise in machine learning algorithms including regression models, GLM, SVM, neural networks,..."
"Data Scientist","ThreatMetrix","United States",nan,nan,"NA",2,39.0,"Your experience with data analysis, statistical modeling, and supervised machine learning will lead to immediate real-world impact in the form of increased..."
"Research Associate - Data Science - Paquola","Lieber Institute for Brain Development","Baltimore, MD",nan,nan,"NA",nan,nan,"As a Research Associate - Data Scientist, your role is to develop data analysis workflows, machine learning models, databases and visualizations, with main..."
"Data Prep Analyst","Astreya","San Francisco, CA",nan,nan,"NA",6,31.2,"Python and R skills including data manipulation, data visualization, data storytelling, and/or machine learning...."
"Machine Learning Engineer, Recommendations","Pinterest","San Francisco, CA 94103 (South Of Market area)",nan,nan,"NA",4,52.8,"Design and build machine learning systems that process and classify Internet-scale content. Experience working on production machine learning systems at scale,..."
"Machine Learning Engineer, Ads Ranking/Relevance","Pinterest","San Francisco, CA 94103 (South Of Market area)",nan,nan,"NA",4,52.8,"Design features and build large-scale machine learning models to improve ad targeting, relevance, and engagement...."
"Data Scientist","PDDN Inc","San Mateo, CA",nan,nan,"$60 an hour",nan,nan,"Statistics and machine learning background. Statistics and machine learning background experience do you have:...."
"Data Scientist","WideOrbit","Bellevue, WA",nan,nan,"NA",5,40.2,"NA"
"Data Scientist","MachineZone","Palo Alto, CA",nan,nan,"NA",nan,nan,"Solid understanding of statistical modeling / predictive analysis/ machine learning / data mining / recommender system concepts...."
"Machine Learning and Computer Vision Architect - Platform Ar...","Apple","Santa Clara Valley, CA",nan,nan,"NA",nan,52.2,"PhD in CS/EE specializing Machine Learning, Deep Learning or computer vision areas. Expertise in machine learning algorithms/applications is required...."
"Data Engineering Intern","Gametime United, Inc.","San Francisco, CA",nan,nan,"NA",nan,nan,"Collaborate with a team of machine learning engineers. Understanding of machine learning techniques and algorithms including regressions, decision trees,..."
"Software Engineer - RQD Machine Learning Discovery Scala Dev...","JP Morgan Chase","Newark, DE 19713",nan,nan,"NA",nan,44.4,"Include perform hands-on coding of production-ready Machine Learning scripts. Risk Model Development (RQD) Machine Learning team helps modelers to...."
"Software Engineer - Machine Learning (Mid Level)","BigBear, Inc.","San Diego, CA",nan,nan,"NA",nan,nan,"We currently have an immediate position for a talented and passionate Software Engineer to build high-performing, scalable, enterprise-grade applications with..."
"Data Scientist/Deep Learning Engineer Intern","Intel","San Diego, CA 92129",nan,nan,"NA",nan,52.2,"Cutting edge problems in applied deep learning, machine learning, and AI in one or more of the following areas:...."
"Computational Scientist II","Basepaws","Redondo Beach, CA",nan,nan,"NA",nan,nan,"We focus on the use of high throughput sequencing approaches, computational biology, systems biology, and machine learning to identify novel genetic factors..."
"Senior Data Engineer - Machine Learning","ThinAir","Mountain View, CA",nan,nan,"NA",nan,nan,"Experience in one or more OSS machine learning libraries such as scikit-learn, Spark ML. Knowledge of different machine learning approaches such as GLM,..."
"Data Analyst - Banking Analytics","McKinsey & Company","Houston, TX",nan,nan,"NA",273,52.8,"Advanced knowledge of machine learning /statistical techniques, data mining, (gradient boosting, random forest, deep learning/AI, regression, decision trees,..."
"Data Analyst","AIG","Beaufort, SC",nan,nan,"NA",nan,43.8,"Familiarity with Classical Statistical Analysis, Classification methods, Regression Methods, Clustering Methods, Machine Learning...."
"Data Scientist","SkillsEQ","New York, NY",nan,nan,"NA",nan,nan,"NA"
"Machine Learning Infrastructure Engineer","Twitter","San Francisco, CA 94103 (South Of Market area)",nan,nan,"NA",39,51.6,"Design and evaluate novel approaches for handling high-volume real-time data streams in a machine learning environment...."
"Data Engineer, Autopilot Maps","Tesla Motors","Palo Alto, CA",nan,nan,"NA",520,43.2,"The candidate will work on our autonomous telemetry pipelines and design machine learning algorithms to enhance the quality of our autonomous driving experience..."
"Solutions Architect - Deep Learning","NVIDIA","Maryland",nan,nan,"NA",130,52.2,"3+ years experience developing machine learning, computer vision or data analytics work flows. You will also be an internal champion for Data Analytics and..."
"Data Scientist","JNN GROUP, INC","Pasadena, CA 91105",nan,nan,"NA",nan,nan,"Computer programming (e.g., programming languages, math/statistics packages, computer science, machine learning, scientific computing)...."
"Machine Learning Software Researcher","ARM","San Jose, CA",nan,nan,"NA",16,52.8,"Machine learning and computer vision; Strong experience in machine learning for computer vision problems. Deep understanding of mathematical foundations of..."
"Data Scientist","eHealth","San Francisco, CA",nan,nan,"NA",57,44.4,"Knowledge of advanced data modeling, machine learning algorithms, and probability theory. Statistical analysis, forecasting, means clustering, linear regression..."
"Research Scientist (Part Time)","University of Arizona","Tucson, AZ",nan,nan,"$80,000 - $96,000 a year",323,53.4,"Machine learning expertise. This position is in the Division of Neural Systems Memory and Aging within the Evelyn McKnight Brain Institute...."
"Data Scientist Associate","Novant Health","Winston-Salem, NC",nan,nan,"NA",459,42.6,"Experience with advanced computer science and analysis techniques such as graph theory, machine learning, natural language processing...."
"Statistical Data Analyst","Star Gas Partners","Stamford, CT 06902 (Downtown area)",nan,nan,"NA",9,44.4,"You will perform marketing analytics and customer analytics and related statistical/machine learning modeling to support every facet of customer acquisition and..."
"Data Scientist","Availity, LLC.","Jacksonville, FL 32256",nan,nan,"NA",nan,nan,"Must have applied experience in Machine Learning. Machine learning/Artificial Intelligence /Visualization, databases, and Big Data), Statistics, Epidemiology,..."
"DATA SCIENTIST","Pekin Insurance","Pekin, IL 61554",nan,nan,"NA",19,40.2,"Extensive understanding and knowledge of advanced analytics, including statistics, simulation, optimization, etc. as well as machine learning techniques and..."
"Data Scientist Intern","Amazon Corporate LLC","Seattle, WA",nan,nan,"NA",nan,43.2,"Supervised and unsupervised learning, deep learning etc.). Must be enrolled at a university and plan to return for additional school terms prior to graduating...."
"Data Scientist, Engineering Support Analytics, Google Cloud","Google","Mountain View, CA",nan,nan,"NA",nan,52.8,"Employ predictive analytics and/or machine learning to facilitate forecasting for a fast growing, global, 24/7 support operation...."
"Deep Learning and Computer Vision Engineer","Churchill Navigation","Boulder, CO",nan,nan,"NA",nan,nan,"This individual should have strong knowledge of computer vision and machine learning algorithms. Strong knowledge and experience of deep learning algorithms...."
"Data Scientist","Savvysherpa","Minneapolis, MN",nan,nan,"NA",nan,nan,"In a quantitative discipline such as Machine Learning, Mathematics, Computer Science, or Engineering. Deep knowledge of machine learning, data mining, and/or..."
"Data Scientist","Solutionreach","Lehi, UT",nan,nan,"NA",27,52.2,"Create innovative solutions and insights to business problems using mathematical, quantitative, statistical, and machine learning methodologies...."
"Data Analyst","McKesson","Alpharetta, GA 30005",nan,nan,"NA",nan,43.2,"Experience with machine learning, NLP etc. is preferred. Perform advanced analytics techniques to mine unstructured data, using methods such as document..."
"Artificial Intelligence Engineer","KY Coding","Pittsburgh, PA",nan,nan,"NA",nan,nan,"NA"
"Speech Analytics Intern","SRI International","Menlo Park, CA 94025",nan,nan,"NA",68,43.8,"NA"
"Data Quality Analyst","Blackwood Seven","Los Angeles, CA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Whiteboard Federal Technologies","Herndon, VA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Burgeon IT Services","Houston, TX",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Savi Technology","Alexandria, VA 22304 (Seminary Hill area)",nan,nan,"NA",6,42.0,"NA"
"Data Scientist","USAA","San Antonio, TX",nan,nan,"NA",961,51.6,"NA"
"Python Developer","CACI","Aurora, CO 80011 (Norfolk Glen area)",nan,nan,"NA",nan,44.4,"NA"
"Research Engineer","Raytheon","Dulles, VA",nan,nan,"NA",nan,51.0,"NA"
"Scientist I - Data Science","National Renewable Energy Laboratory","Remote",nan,nan,"NA",40,43.8,"Interested candidates should have experience programming python (optionally, in addition to other languages), accessing APIs and databases (SQL), some..."
"Data Scientist","FocusKPI Inc.","Mountain View, CA",nan,nan,"NA",nan,nan,"Familiar with statistical and machine learning skills with at least one of the programing tools (e.g, SAS, Python, R or other similar ones)...."
"Quantitative Developer","Clearpool Group","New York State",nan,nan,"NA",nan,nan,"2-5 years of experience in software development and 1-3 years in quantitative analysis (statistical analysis - regression analysis, time series analysis and/or..."
"Data Scientist","JAMES RIVER MANAGEMENT","Richmond, VA",nan,nan,"NA",nan,nan,"The Data Scientist will drive transformational change through machine learning, data analytics, and evidence-supported decision making...."
"Data Science Internship","Seaport Global Holdings LLC","New York, NY",nan,nan,"NA",nan,nan,"Broad statistical, calculus and probabilistic toolkit including cross-sectional risk factor models, machine learning and econometrics Proven ability to..."
"Applied AI Engineer","Bonsai","Berkeley, CA",nan,nan,"NA",7,42.6,"Reinforcement Learning, Deep Learning. This person will focus on deep learning and reinforcement learning. Quick Proof of Concept (POC) feature ownership for..."
"Data Scientist, CDHI","University of California San Francisco","San Francisco, CA",nan,nan,"NA",186,52.2,"Implementing machine learning algorithms iteratively and assessing their effectiveness; Excellent analytical and problem-solving skills, preferably applied to..."
"Data Scientist","Schlumberger","Houston, TX",nan,nan,"NA",nan,51.6,"Develops and deploys modern machine learning, statistical and ensemble methods for finding patterns and models from business and operational data...."
"Associate Data Science Anlyst/Engineer","NYU School of Medicine","New York, NY",nan,nan,"NA",269,51.6,"Familiarity with major machine learning models and data mining techniques. To qualify you must have a Masters in Data Science, Machine Learning, Computer..."
"Data Scientist / Machine Learning (MTx.2017-Q2-1)","Marauder Therapeutics","Cambridge, MA 02139 (Area IV area)",nan,nan,"NA",nan,nan,"Extremely strong background in statistics, machine learning, deep learning, graph/network analysis, and/or systems biology...."
"2017 Fall Co-op/Internship - Software Engineer","Uhana, Inc.","Palo Alto, CA 94306 (Barron Park area)",nan,nan,"NA",nan,nan,"We are harnessing the power of SDN, machine learning, and predictive analytics to manage and optimize mobile networks...."
"Software Engineer, Performance Artificial Intelligence","KissHire","Cupertino, CA",nan,nan,"NA",nan,nan,"Familiarity with computer vision, machine learning and deep nets. Software Engineer, Performance Artificial Intelligence...."
"Data Scientist","AutoGravity Corporation","Irvine, CA",nan,nan,"NA",nan,nan,"(Preferred) Experience with machine learning applied to big data. AutoGravity is auto financing in the palm of your hand...."
"Data Scientist","InMobi","San Francisco, CA 94107 (South Of Market area)",nan,nan,"NA",3,52.8,"Signal processing, probability models, machine learning, statistical learning, computer programming, data engineering, pattern recognition and learning,..."
"Junior Data Scientist/Data Scientist","Penguin Random House","New York, NY 10019 (Midtown area)",nan,nan,"NA",195,51.6,"Relevant coursework applying advanced statistical/machine learning and predictive analysis techniques. Penguin Random House US...."
"Machine Learning Scientist","DST Systems","Kansas City, MO",nan,nan,"NA",280,42.0,"Machine Learning Scientists contribute directly to the features and capabilities deployed in our applications...."
"Data Scientist","Astreya","Mountain View, CA",nan,nan,"NA",6,31.2,"Experience in building scalable machine learning algorithms with application to recommender systems. 4+ years of hands on experience in machine learning and..."
"Machine Learning Engineer","Human API","Redwood City, CA",nan,nan,"NA",nan,nan,"Create machine learning models in situations where the data is sparse and high-dimensional. Our consumption of health data is growing at an exponential rate --..."
"Deep Learning Research Scientist","Bosch Group","Palo Alto, CA",nan,nan,"NA",nan,52.2,"NA"
"Data Science Intern - Fall 2017","FactSet","New York, NY 10016 (Gramercy area)",nan,nan,"NA",298,44.4,"NA"
"Machine Learning Scientist, AWS AI","Amazon Corporate LLC","Seattle, WA",nan,nan,"NA",nan,43.2,"NA"
"Research Scientist--Computer Vision & Machine Learning","Hikvision USA Inc.","Santa Clara, CA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Creospan Solutions","Northbrook, IL",nan,nan,"$80 - $100 an hour",nan,nan,"NA"
"Data Scientist, Junior","Booz Allen Hamilton","San Diego, CA 92108",nan,nan,"NA",nan,44.4,"NA"
"Data Engineer (4 Open Positions)","Hudson Data","New York, NY",nan,nan,"NA",nan,nan,"NA"
"Junior Data Analyst Internship","Storyverse Studios","Hollywood, CA 90068",nan,nan,"NA",nan,nan,"NA"
"Machine Learning","Exxon Mobil","Clinton, NJ",nan,nan,"NA",nan,51.0,"NA"
"Data Scientist","Blue State Digital","New York, NY",nan,nan,"NA",5,53.4,"NA"
"Research associate","Agilent","Santa Clara, CA 95051",nan,nan,"NA",403,52.2,"NA"
"Machine Learning Scientist","Amazon Corporate LLC","Cambridge, MA",nan,nan,"NA",nan,43.2,"NA"
"Manager - Machine Learning Software Engineering","C3 IoT","Redwood City, CA",nan,nan,"NA",nan,nan,"NA"
"SCIENTIST","Microsoft","Redmond, WA 98052",nan,nan,"NA",nan,52.2,"NA"
"Data Scientist","Dotdash","New York, NY",nan,nan,"NA",nan,nan,"NA"
"LIBRARY DEVELOPMENT ENGINEER","Falcon Computing Solutions","Santa Clara, CA 95054",nan,nan,"NA",nan,nan,"NA"
"Research Scientist II","University of Texas at Dallas","Richardson, TX",nan,nan,"$48,500 a year",158,54.0,"NA"
"Data Mining Scientist","Apple","Austin, TX",nan,nan,"NA",nan,52.2,"NA"
"Data Scientist","tronc","Chicago, IL",nan,nan,"NA",nan,nan,"Selecting features, building and optimizing machine learning models. Creating automated machine learning pipelines and systems including constant tracking of..."
"Software Engineer, Human Computation","Pinterest","San Francisco, CA 94103 (South Of Market area)",nan,nan,"NA",4,52.8,"Develop storage and infrastructure that better integrates human evaluation with machine learning workflows. We're looking for a software engineer to build human..."
"Data Scientist","Cerner Corporation","Kansas City, MO",nan,nan,"NA",646,43.2,"In Data Mining, Machine Learning, Statistics, Operations Research or related field. Strong programming skill in multiple languages, comfortable learning new..."
"Data Scientist","Hearts & Science","Los Angeles, CA",nan,nan,"NA",nan,nan,"Industry experience with predictive modeling, databases, computational simulation, clustering, machine learning, and remote computing, e.g., Amazon AWS...."
"Data Scientist","Zimmerman Advertising","Dallas, TX",nan,nan,"NA",42,32.4,"Experience with Machine learning. We are looking for candidates who love learning, questioning the status quo, and finding data-backed ways to 'do-it better''...."
"Software Engineer - Business Intelligence and Reporting","Qualcomm","San Diego, CA",nan,nan,"NA",782,52.2,"Location California - San Diego Job Overview The successful candidate will be responsible for: Analyzing data from various QTI engineering data sources..."
"Machine Learning Engineer","ProMedia Careers","San Diego, CA",nan,nan,"NA",nan,nan,"++The engineer will be working with Corporate R&D and EDA team to develop Machine learning based timing closure methodology...."
"Associate Data Scientist","Darden","Orlando, FL",nan,nan,"NA",639,44.4,"Statistics, uplift modeling, marketing mix models, econometric modeling, predictive modeling, machine learning, etc.)...."
"Data Scientist","Knowles","Itasca, IL",nan,nan,"NA",10,42.6,"Solid fundamentals, knowledge of machine learning algorithms, classification, clustering, regression, Bayesian modeling, probability theory, algorithm design,..."
"Software Engineer, Video & Image Platform","Pinterest","San Francisco, CA 94103 (South Of Market area)",nan,nan,"NA",4,52.8,"We enable other teams to build machine learning-based products like Lens while optimizing content for SEO needs...."
"Co-Founder - Data Engineer/Machine Learning Guru","Pin the Look, Inc.","Silicon Valley, CA",nan,nan,"NA",nan,nan,"Machine Learning API Development:. In this position, you will devise the machine learning infrastructure, determine which technology partners and existing APIs..."
"Data Scientist","JB Hunt","Lowell, AR",nan,nan,"NA",nan,40.8,"Decision trees, multivariate analysis, segmentation modeling, factor analysis, regression analysis, forecasting, and machine learning...."
"Quantitative Researcher","Ginkgo LLC","Chicago, IL",nan,nan,"NA",nan,nan,"Experience with machine learning. We are an expanding, technology-driven proprietary trading firm based in Incline Village, NV, a beautiful town located on the..."
"NA","Intel","Santa Clara, CA 95052",nan,nan,"NA",nan,52.2,"Ideal candidates would have good understanding of state-of-the-art techniques in machine learning and deep learning, performance optimization, and benchmarking,..."
"Software Engineer","Foursquare","New York, NY",nan,nan,"NA",6,55.2,"Leverage machine learning techniques to build systems which process and derive insights from billions of location data points every day...."
"SharePoint Solution Architect (SharePoint Online)(Locals Onl...","Nityo infotech Services Pvt. Ltd","Redmond, WA",nan,nan,"$55 - $60 an hour",5,43.8,"Media Services, Azure Machine Learning, Service Bus, Active Directory, Azure Media player. Hi,...."
"Deep Learning Computational Graph Engineer","Intel","San Diego, CA 92129",nan,nan,"NA",nan,52.2,"Making a variety of machine learning hardware platforms more efficient and easier to use. Experience with one or more deep learning frameworks such as neon,..."
"Data Scientist","HelloFresh","New York, NY",nan,nan,"NA",91,39.6,"Leverage data and advanced statistical and machine learning techniques to design, build, optimize and maintain predictive targeting models...."
"2018 Pittsburgh Software Development Engineer Intern","Amazon Corporate LLC","Pittsburgh, PA",nan,nan,"NA",nan,43.2,"We work on automation, machine vision, robotics, and machine learning. Amazon tailors customer recommendations through a variety of machine learning and..."
"Software Engineer","Intel","Hillsboro, OR 97124",nan,nan,"NA",nan,52.2,"As part of the Human Interface Technology (HIT) team, you will be a member of a tight-knit group of highly talented engineers at the forefront of the innovation..."
